"ruleCode","scopeType","ingredientCodes","expressionType","candidateExamples","judgmentCategory","applicationConditions","exceptions","requiredEvidence","severity","sourceIds","caseIds","ruleVersion","reviewStatus"
"C01_DISEASE_PREVENTION","COMMON","[]","질병명 + 예방","[""질병명 + 예방""]","DISEASE_PREVENTION","해당 제품 섭취가 질병 발생을 막는다는 직접·암시 주장인지 확인","법령상 인정 기능성 예외, 부정문, 필수고지, 건강정보를 먼저 검토","null","HIGH","[""LAW-01"",""LAW-02""]","[]","0.1","DRAFT"
"C02_DISEASE_TREATMENT","COMMON","[]","치료·완치·낫는다·증상 완화","[""치료"",""완치"",""낫는다"",""증상 완화""]","DISEASE_TREATMENT","질병 또는 특징적 징후·증상에 제품의 치료 작용을 귀속시키는지 확인","질병을 설명한 문장인지, 제품 효과 주장인지 구분. 단어 '완화' 전체 금지 불가","null","HIGH","[""LAW-02"",""REVIEW-01""]","[""BAD-03"",""BAD-10""]","0.1","DRAFT"
"C03_MEDICINE_CONFUSION","COMMON","[]","약 대체·처방·병원용 등","[""약 대체"",""처방"",""병원용 등""]","MEDICINE_CONFUSION","의약품 대체, 치료효과 증대, 의약품 전용 명칭 등으로 인식할 우려가 있는지","용어 사용 위치·전체 광고 인상. PDF 용어 수정표 자체와 법적 위반을 구분","null","HIGH","[""LAW-02"",""REVIEW-01""]","[]","0.1","DRAFT"
"C04_DISEASE_INFO_LINK","COMMON","[]","질병 통계·기사·체크리스트 뒤 제품 소개","[""질병 통계"",""기사"",""체크리스트 뒤 제품 소개""]","DISEASE_INFO_LINK","제품 기능성 광고와 명확히 구분됐는지, 비관련 고지·출처·연결 문구를 확인","구획과 고지만으로 모든 질병정보가 허용되지는 않음. 이미지·전체 흐름 미확인 시 논의 필요","null","CAUTION","[""LAW-02"",""REVIEW-01"",""REVIEW-02""]","[""BAD-07"",""BAD-09""]","0.1","DRAFT"
"C05_FUNCTION_EXCEED","COMMON","[]","공식 기능성보다 강하거나 다른 효능","[""공식 기능성보다 강하거나 다른 효능""]","FUNCTION_EXCEED","제품 인정 기능성의 대상·작용·결과·조건과 주장 의미를 비교","다른 주원료에 해당 기능성이 있는지 확인. '도움'이라는 말이 있어도 범위 초과 가능","null","HIGH","[""LAW-02"",""REVIEW-02""]","[""BAD-03"",""BAD-04"",""BAD-05"",""BAD-06"",""BAD-08""]","0.1","DRAFT"
"C06_OFFICIAL_FUNCTION","COMMON","[]","인정 기능성 표현","[""인정 기능성 표현""]","OFFICIAL_FUNCTION","원료·함량·일일섭취량·제품별 인정문구가 확인되고 해당 주장과 일치","다른 문구·이미지·필수정보까지 전체 적합이라고 보증하지 않음. 데이터 미확인 시 논의 필요","제품의 원료, 함량, 일일섭취량, 인정 기능성 및 제품별 인정문구","NORMAL","[""FUNC-01"",""FUNC-03"",""REVIEW-03""]","[""GOOD-01"",""GOOD-02"",""GOOD-03"",""GOOD-04"",""GOOD-05"",""GOOD-06"",""GOOD-07"",""GOOD-08"",""GOOD-09"",""GOOD-10""]","0.1","DRAFT"
"C07_ABSOLUTE_EFFECT","COMMON","[]","100% 효과·무조건·완벽한 회복","[""100% 효과"",""무조건"",""완벽한 회복""]","ABSOLUTE_EFFECT","수식 대상이 건강 효과이고 개인차 없이 결과를 확정하는지 확인","원료함량·영양성분 기준치·배송 안내 등과 구분. 예시 조합 일부는 AdCheck 작성 예시","null","HIGH","[""LAW-01"",""REVIEW-02"",""REVIEW-03""]","[""BAD-01"",""BAD-04"",""BAD-06""]","0.1","DRAFT"
"C08_RESULT_TIME_AMOUNT","COMMON","[]","n kg 감량·n일이면 개선","[""n kg 감량"",""n일이면 개선""]","RESULT_TIME_AMOUNT","특정 기간 또는 섭취 결과를 일반 소비자에게 보장하는 제품 카피인지","적정 인체시험 인용, 단순 포장분량 '30일분'과 구분","null","HIGH","[""REVIEW-02"",""REVIEW-03""]","[]","0.1","DRAFT"
"C09_COMPLETE_SOLUTION","COMMON","[]","고민 끝·관리 끝·한번에 끝","[""고민 끝"",""관리 끝"",""한번에 끝""]","COMPLETE_SOLUTION","건강 문제를 제품 섭취만으로 해결·치료 대체할 것처럼 표현하는지","'두 제품을 한 번에 섭취' 같은 편의성과 구분","null","HIGH","[""REVIEW-02""]","[""GOOD-10""]","0.1","DRAFT"
"C10_INGREDIENT_100","COMMON","[]","원료 100%","[""원료 100%""]","INGREDIENT_100","최종제품에 다른 물질이 남아 있는지와 고시상 적용 예외·병기조건 검토","제품 전체인지 원료·캡슐 등 구성요소인지 구분. 배합정보 없으면 논의 필요","최종제품의 배합 및 구성 정보","CAUTION","[""LAW-04""]","[""GOOD-02""]","0.1","DRAFT"
