sourceId,title,sourceType,issuer,sourceUrl,localSourcePath,parentSourceId,documentVersion,issuedAt,effectiveFrom,effectiveTo,retrievedAt,verificationStatus,section,printedPage,pdfPage,notes
LAW-01,식품 등의 표시·광고에 관한 법률,LAW,"대한민국 법률, 소관 식약처, 제공 법제처 국가법령정보센터",https://www.law.go.kr/LSW/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1029094815 (제8조 조문),,,,,2025-09-19 (온라인 열람 페이지 표시 시행본; 첨부 PDF 수록본과 버전 다를 수 있음-REVIEW_REQUIRED),,,UNVERIFIED,"제4조제1항제3호, 제7조, 제8조제1항, 제10조",,,"AdCheck 활용 범위: 광고 필수정보, 질병 예방·치료, 의약품 오인, 거짓·과장, 기만, 비교, 심의. 링크는 제8조 조문이며 나머지 조문은 첨부 PDF 수록 부분 기준(첨부 PDF 원문 자체는 이번 산출물에 포함되지 않음). 온라인 페이지 버전과 PDF 인용 버전 구분 필요."
LAW-02,식품 등의 표시·광고에 관한 법률 시행령,REGULATION,"대통령령, 소관 식약처, 제공 국가법령정보센터",https://www.law.go.kr/LSW/lsSideInfoP.do?docCls=jo&joBrNo=00&joNo=0003&lsiSeq=273545&urlMode=lsScJoRltInfoR (제3조); https://www.law.go.kr/LSW/flDownload.do?bylClsCd=110201&flSeq=155768811&gubun= (별표 1 원문),,,,,"2023-12-26 (PDF 별표 개정 표시일; 별표1 한정, 시행령 전체 최신 시행일은 아닐 수 있음)",,,UNVERIFIED,제3조 및 별표 1 제1~8호,,,"AdCheck 활용 범위: 핵심 법적 분류와 예외조건. 기능성을 인정받은 사항, 질병정보 구분·병기 예외를 금지기준과 함께 검색해야 함. 두 개의 URL(본문/별표1)이 병기되어 있어 단일 sourceUrl 필드에 원문 그대로 보존함."
LAW-03,식품 등의 표시·광고에 관한 법률 시행규칙,REGULATION,"총리령, 소관 식약처",https://law.go.kr/LSW/lumLsLinkPop.do?chrClsCd=010202&lspttninfSeq=150943 (제10조 등 연계 조문),,,,,2026-01-01 (웹 연계 조문 표시 시행일),,,UNVERIFIED,제10조제3호(인쇄 10/PDF 12); 별표 6 제1호 인용(인쇄 43/PDF 45) - 두 위치가 서로 다른 페이지쌍이라 단일 printedPage/pdfPage로 분리하지 않고 section에 원문 보존,,,"AdCheck 활용 범위: 건강기능식품 심의 대상, 광고 필수정보. 별표 6 내용은 PDF 인용본 기준이며 별표 전체 검토 자료는 아님."
LAW-04,식품등의 부당한 표시 또는 광고의 내용 기준,NOTICE,"식약처 고시, 제공 국가법령정보센터",https://www.law.go.kr/LSW/admRulInfoP.do?admRulSeq=2100000269428&chrClsCd=010201 (공식 고시 페이지),,,제2025-79호,,2025-12-04,,,UNVERIFIED,"제2조제3호, 제4호 등",11~19,13~21,"AdCheck 활용 범위: 원재료 100%, 천연·자연, 무첨가, 인증·안전성·비교광고. Rule 세부 내용은 첨부 PDF를 우선 전사한 것이므로 이후 개정 전문과 대조 필요."
LAW-05,식품 등의 표시·광고에 관한 법률 제10조,LAW,"법률, 소관 식약처",https://www.law.go.kr/lsLinkCommonInfo.do?lsJoLnkSeq=1029093611 (자율심의 조문),,,,,,,,UNVERIFIED,제10조제1항·제4항,3~4,5~6,"AdCheck 활용 범위: 심의 대상 및 결과 준수, 법정 표시사항만 그대로 표시·광고하는 경우의 예외. 심의번호를 크롤링하지 못했다는 이유만으로 미심의 확정 금지. 주의: LAW-01과 동일 법률(식품 등의 표시·광고에 관한 법률)의 다른 조문을 별도 sourceId로 등록한 원본 구조이며, 원본에 명시적 parent-child 표기가 없어 임의로 합치거나 연결하지 않음 - DB 설계 시 검토 필요."
FUNC-01,건강기능식품의 기준 및 규격,FUNCTION_SOURCE,"식약처 고시, 건강기능식품 공전",https://law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000280574 (공식 공전 페이지),,,제2026-43호,,2026-06-11,,,UNVERIFIED,원료별 기능성·일일섭취량·규격·최종제품 요건,,,"온라인 페이지에서 제2026-43호, 2026-06-11 시행 확인. 최신 공전 전문을 원료 DB로 전수 구축한 것은 아님. 이번 산출물의 기능성 범위는 첨부 PDF Ⅳ장 기준(REVIEW-03)."
FUNC-02,건강기능식품 정보: 기능성 원료,FUNCTION_SOURCE,식약처 식품안전나라,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs464&menu_grp=MENU_NEW01&menu_no=3811&ntctxt_no=1070220 (기능성 원료 설명),,,,,,,,UNVERIFIED,고시형·개별인정형 구분,,,원료 검색과 인정서 연결의 배경자료. 이 안내 페이지 자체는 모든 제품의 인정 기능성 목록이 아님.
FUNC-03,해당 제품 품목제조신고·수입신고 및 개별인정 원료 인정자료,FUNCTION_SOURCE,식약처 관련 행정자료·개별 제품 증빙,,,,,,,,,NOT_COLLECTED,"제품명, 기능성원료, 일일섭취량, 인정 기능성, 주·부원료",,,"제품별 자료는 현재 미수집(원본 명시). 실제 광고 평가 시 필요한 입력이나, 원료명만으로 가능한 모든 기능성을 해당 제품에 부여해서는 안 됨."
PDF-BASE,건강기능식품 표시·광고 공통심의기준,REVIEW_DOCUMENT,사용자 제공 자료. 협회 공식 사이트에서 동명 자료 발간 공지의 존재 확인; 첨부 파일과 공식 배포본의 동일성은 미검증,,,,2025.6,,,,,REVIEW_REQUIRED,"전체 문서(법령, 심의 실무기준, 예시를 각 sourceId로 구분)",,,전체 111쪽. 첨부 PDF 원본 파일 자체는 이번 세션에 업로드되지 않아 localSourcePath 확인 불가(null). SRC-D01: 표지에서 발행 주체를 명확히 확인하기 어렵고 공식 배포 파일과 동일성 미검증 - 정식 배포본과 대조 전 무검수 기준 DB 반영 금지. SRC-D02: PDF 111쪽 상단에 'Ⅵ. 추가??' 등 오기·편집 흔적 존재.
REVIEW-01,Ⅱ. 광고시안 작성 시 유의사항,REVIEW_SECTION,PDF 수록 자율심의 실무기준; 정부 고시와 구분,,,PDF-BASE,,,,,,REVIEW_REQUIRED,항목 1~10,42~45,44~47,"활용 범위: 제품명·업소명, 건강기능식품 표시, 부원료, 특허, 용어, 연구·건강정보."
