caseId,caseType,sourceId,ingredientCodes,otherMainIngredients,textKind,quotedText,sourceDecision,sourceReasonSummary,ruleCodes,printedPage,pdfPage,verificationStatus,notes
BAD-01,BAD,CASE-BASE,PROBIOTICS,복합영양소,QUOTE,유당이 없어서 아이가 이 제품 먹으면 1일 1응가해요,UNSUITABLE,부적합. 기능성 범위를 벗어난 과장 및 효과 보장 내용의 후기 중심,"C13_TESTIMONIAL, C07_ABSOLUTE_EFFECT, P03_DISEASE_GUT",100,102,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: 숫자 '1'이나 배변 단어만 금지하지 않음. 제품 섭취와 확정적 결과의 연결 및 후기 전체 확인.
BAD-02,BAD,CASE-BASE,EPA_DHA,"비타민D, 비타민E",QUOTE,"설명: ""two safe 인증""; 이미지: ""임산부 안전평가 인증 완료""",UNSUITABLE,부적합. 자사 제품만 더 안전하고 우수한 것으로 오인할 우려,"C20_CERTIFICATION, C21_UNFAIR_COMPARISON",101,103,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: 인증 자체가 허위라고 단정하지 않음. 범위·기관·실제 증빙과 독점 안전성 인상 확인.
BAD-03,BAD,CASE-BASE,RED_GINSENG,,QUOTE,"신부전증에도 효과, 암보다 무섭다는 병 치매에 홍삼이 효과",UNSUITABLE,부적합. 인정 기능성을 벗어나 질병 치료 효과가 있는 것으로 오인할 우려,"C02_DISEASE_TREATMENT, C05_FUNCTION_EXCEED",102,104,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: 질병명 검색만이 아니라 제품의 질병 효과를 주장하는 관계 확인.
BAD-04,BAD,CASE-BASE,GARCINIA,차전자피,QUOTE,"부드럽다, 더 부드럽다 / 깔끔하다, 더 깔끔하다 / 똥 많이 / 깜깜 무소식이라면",UNSUITABLE,부적합. 해당 광고 전체가 기능성을 과장하는 내용 위주,"C05_FUNCTION_EXCEED, C07_ABSOLUTE_EFFECT",103,105,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: 맛·목넘김을 설명하는 '부드럽다'까지 금지하지 않음. 차전자피 기능성과 배변 효과 과장 관계 확인.
BAD-05,BAD,CASE-BASE,MILK_THISTLE,"홍경천, 복합영양소",QUOTE,"수험생 입소문 에너지 비타민, 수험생 학업 스트레스 피로 개선",UNSUITABLE,부적합. 수험생 특화 기능 오인 및 기능성 범위 초과,"C28_TARGET_SPECIALIZATION, C05_FUNCTION_EXCEED, M01_FATIGUE",104,106,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: 홍경천의 피로 기능성이 있는 복합제품 사례임. '밀크씨슬에 피로 기능이 없다'는 이유만으로 사례를 설명하면 불충분.
BAD-06,BAD,CASE-BASE,GREEN_TEA,바나바잎,QUOTE,"혈당스파이크를 줄여야 간식도 줄일 수 있습니다, 안찌는 체질 어렵지않네",UNSUITABLE,부적합. 범위 밖 기능 및 복합 기능에 따른 시너지로 오인·혼동 우려,"C27_FUNCTION_SYNERGY, C05_FUNCTION_EXCEED, C07_ABSOLUTE_EFFECT",105,107,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: 혈당 기능 자체의 부적합이 아님. 혈당→식탐 억제→감량/체질 변화라는 추가 주장 확인.
BAD-07,BAD,CASE-BASE,MSM,비타민D,QUOTE,관절이 고통스러운 계절 겨울! (추운 날씨에 관절염 환자 통증이 악화된다는 건강정보 포함),UNSUITABLE,부적합. 광고 전체가 특정 계절에 특화된 기능이 있는 것으로 오인되는 건강정보 위주,"S04_SEASON, C04_DISEASE_INFO_LINK, S01_PAIN",106,108,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: 비관련 고지의 존재만으로 자동 허용하지 않음. 원문 광고 이미지에도 건강정보 고지가 보이나 부적합 사례로 제시됨.
BAD-08,BAD,CASE-BASE,OCTACOSANOL,"쏘팔메토, 복합영양소",QUOTE,아내가 좋다고 계속 먹으라고 해요 / 여친 없는 사람은 사지마세요 / 나보다 강한놈 있어?,UNSUITABLE,부적합. 인정 범위를 벗어난 남성 성기능 향상 암시,"O01_SEXUAL, C05_FUNCTION_EXCEED",107,109,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: '아내·강하다' 단독 금지 불가. 이미지·관계·성적 함의·횟수 표현을 함께 봄.
BAD-09,BAD,CASE-BASE,PROPOLIS,"칼슘, 비타민C, 망간",QUOTE,외래진료 1위 치주질환 / 피가 난다 / 고름 / 붓는 잇몸,UNSUITABLE,부적합. 기능성 범위를 벗어난 잇몸 건강 및 치주질환 관련 내용 위주,"B01_IMMUNE_INFLAMMATION, B03_OTHER_ORAL, C04_DISEASE_INFO_LINK",108,110,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: 이 부적합 제품 설명의 프로폴리스 기능성은 '항산화'. 모든 프로폴리스 제품이 구강 항균 기능을 가진 것으로 전제하지 않음.
BAD-10,BAD,CASE-BASE,MARIGOLD,"비타민A, 아르간오일(부원료, 광고에서 강조됨)",QUOTE,세계에서 가장 귀한 식용오일인 아르간 오일 66% 이상 배합 / 항산화 노화방지 및 항암효과 / 피로개선/불면증 완화 효과,UNSUITABLE,부적합. 단순 함유 사실을 넘어 부원료 기능성을 강조하고 미인정·질병 관련 효과로 확대,"C11_SUB_INGREDIENT_FUNCTION, C12_SUB_INGREDIENT_EMPHASIS, C02_DISEASE_TREATMENT",109,111,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 새 광고 적용 시 확인: 66%라는 숫자 자체가 이유가 아님. 111쪽 상단 편집 흔적은 file1 SRC-D02 참고(오기/편집 흔적 있어 정식 배포본 대조 전 무검수 기준 반영 금지).
