standardIngredientName,officialFunctionRaw,dailyIntakeRaw,precautionsRaw,sourceName,ingredientMasterId
비타민 A,(가) 어두운 곳에서 시각 적응을 위해 필요 / (나) 피부와 점막을 형성하고 기능을 유지하는데 필요 / (다) 상피세포의 성장과 발달에 필요,"210~1,000 μg RAE (699.93~3,333 IU)",,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),300
베타카로틴,(가) 어두운 곳에서 시각 적응을 위해 필요 / (나) 피부와 점막을 형성하고 기능을 유지하는데 필요 / (다) 상피세포의 성장과 발달에 필요,(가) 1). (1). (가) 및 (나)의 경우 : 0.42~7 mg / (나) 1). (1). (다)의 경우 : 1.26 mg 이상,(가) 흡연자는 섭취 시 전문가와 상담할 것 / (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),277
비타민 D,(가) 칼슘과 인이 흡수되고 이용되는데 필요 / (나) 뼈의 형성과 유지에 필요 / (다) 골다공증발생 위험 감소에 도움을 줌,3~10 μg(120~400 IU),(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것 / (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),306
비타민 E,항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요,3.3~400 mg α-TE（4.917~596 IU),,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),307
비타민 K,(가) 정상적인 혈액응고에 필요 / (나) 뼈의 구성에 필요,"21~1,000 μg",(가) 항응고제 등 복용 시 전문가와 상담할 것 / (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),308
비타민 B1,탄수화물과 에너지 대사에 필요,0.36~100 mg,이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),301
비타민 B2,체내 에너지 생성에 필요,0.42~40 mg,이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),303
나이아신,체내 에너지 생성에 필요,(가) 니코틴산인 경우 : 4.5~23 mg / (나) 니코틴산아미드인 경우 : 4.5~670 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),147
판토텐산,"지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",1.5~200 mg,이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),523
비타민 B6,(가) 단백질 및 아미노산 이용에 필요 / (나) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요,0.45~67 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),304
엽산,(가) 세포와 혈액생성에 필요 / (나) 태아 신경관의 정상 발달에 필요 / (다) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요,120~400 μg / <표>,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),395
비타민 B12,정상적인 엽산 대사에 필요,"0.72~2,000 μg",이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),302
